MS,File gốc (Desktop/AI_DLA_ADS_2160x2700),Dáng,Mood,Mô tả VI,Mô tả EN
MS 109,DLA_17_03_31_6_thg_9_2026.png,mermaid,romantic,"Ren tay dài trễ vai, đuôi cá",Off-shoulder long-sleeve lace mermaid
MS 110,DLA_22_37_34_6_thg_9_2026.png,mermaid,editorial,"Satin rủ, tay voan, đuôi cá","Draped satin, sheer sleeves, mermaid"
MS 111,DLA_22_52_54_6_thg_9_2026.png,mermaid,minimal,"Satin trễ vai rủ eo, đuôi cá",Off-shoulder draped satin mermaid
MS 112,DLA_22_59_46_6_thg_9_2026.png,mermaid,editorial,"Corset satin trễ vai, xẻ tà","Off-shoulder satin corset, slit"
MS 113,DLA_23_02_59_6_thg_9_2026.png,mermaid,minimal,"Satin trễ vai, dáng ôm","Off-shoulder satin, fitted"
MS 114,DLA_23_05_47_6_thg_9_2026.png,mermaid,minimal,"Satin xếp nếp, dáng ôm","Pleated satin, fitted"
MS 115,DLA_23_21_14_6_thg_9_2026.png,mermaid,minimal,"Satin trễ vai, đuôi cá",Off-shoulder satin mermaid
MS 116,DLA_23_23_49_6_thg_9_2026.png,mermaid,minimal,"Satin trễ vai, xẻ tà","Off-shoulder satin, slit"
MS 117,DLA_23_27_00_6_thg_9_2026.png,mermaid,minimal,"Satin trễ vai, đuôi cá mềm","Off-shoulder satin, soft mermaid"
MS 118,Gemini_Generated_Image_1d450l1d450l1d45.png,ballgown,romantic,"Ren toàn thân, tùng xoè lớn","All-over lace, grand skirt"
MS 119,Gemini_Generated_Image_4be9i54be9i54be9.png,ballgown,editorial,"Corset lấp lánh, tùng xoè","Sparkle corset, full skirt"
MS 120,Gemini_Generated_Image_4byfy94byfy94byf.png,ballgown,timeless,"Satin xếp ly, tùng xoè",Pleated satin ballgown
MS 121,Gemini_Generated_Image_4wyzfc4wyzfc4wyz.png,ballgown,romantic,"Ren hoa, tùng xoè","Floral lace, full skirt"
MS 122,Gemini_Generated_Image_6blupx6blupx6blu.png,ballgown,romantic,"Hoa nổi 3D, tùng xoè lớn","3D florals, grand skirt"
MS 123,Gemini_Generated_Image_6me5zy6me5zy6me5.png,mermaid,minimal,"Satin xếp nếp, đuôi cá",Pleated satin mermaid
MS 124,Gemini_Generated_Image_7kmo7i7kmo7i7kmo.png,a-line,romantic,"Ren hoa mềm, dáng chữ A","Soft lace, A-line"
MS 125,Gemini_Generated_Image_7v3t787v3t787v3t(1).png,ballgown,romantic,"Corset ren, tùng xoè","Lace corset, full skirt"
MS 126,Gemini_Generated_Image_9g8bcu9g8bcu9g8b.png,mermaid,minimal,"Satin trễ vai rủ, dáng ôm","Off-shoulder draped satin, fitted"
MS 127,Gemini_Generated_Image_9m74a09m74a09m74.png,ballgown,timeless,"Satin trễ vai, tùng xoè",Off-shoulder satin ballgown
MS 128,Gemini_Generated_Image_a1qeawa1qeawa1qe.png,a-line,romantic,Ren tay dài cổ vuông,"Long-sleeve lace, square neckline"
MS 129,Gemini_Generated_Image_b2r9mb2r9mb2r9mb.png,mermaid,minimal,"Satin rủ, dáng ôm mềm","Draped satin, soft fitted"
MS 130,Gemini_Generated_Image_bzx2bibzx2bibzx2.png,a-line,romantic,"Ren hoa trễ vai, dáng chữ A","Off-shoulder lace, A-line"
MS 131,Gemini_Generated_Image_cyzszvcyzszvcyzs.png,a-line,editorial,"Lấp lánh, dáng chữ A","Sparkle, A-line"
MS 132,Gemini_Generated_Image_dcjy4ydcjy4ydcjy.png,a-line,romantic,"Đính kết ngực, voan chữ A","Beaded bodice, tulle A-line"
MS 133,Gemini_Generated_Image_e02db4e02db4e02d.png,ballgown,romantic,"Ren hoa trễ vai, tùng xoè",Off-shoulder lace ballgown
MS 134,Gemini_Generated_Image_equcwgequcwgequc.png,ballgown,timeless,"Ren và satin, tùng xoè",Lace and satin ballgown
MS 135,Gemini_Generated_Image_fp93v7fp93v7fp93.png,mermaid,editorial,"Đính kết trễ vai, tùng rời","Off-shoulder beaded, overskirt"
MS 136,Gemini_Generated_Image_guvuqfguvuqfguvu.png,ballgown,romantic,"Corset, tùng voan viền ren","Corset, lace-trimmed tulle skirt"
MS 137,Gemini_Generated_Image_hjruedhjruedhjru.png,a-line,romantic,"Ren cổ xuyên thấu, dáng chữ A","Illusion lace, A-line"
MS 138,Gemini_Generated_Image_hoeegahoeegahoee.png,a-line,minimal,Satin hai dây mảnh,"Satin, thin straps"
MS 139,Gemini_Generated_Image_hupdpkhupdpkhupd.png,a-line,minimal,"Satin nơ eo, tùng voan","Satin bow, tulle skirt"
MS 140,Gemini_Generated_Image_i12s8yi12s8yi12s.png,a-line,romantic,"Ren hoa toàn thân, dáng chữ A","All-over floral lace, A-line"
MS 141,Gemini_Generated_Image_i8nsv2i8nsv2i8ns.png,a-line,editorial,"Satin trễ vai, dáng ngắn","Off-shoulder satin, tea length"
MS 142,Gemini_Generated_Image_inr92sinr92sinr9.png,ballgown,editorial,Satin trễ vai xếp tầng,Off-shoulder layered satin
MS 143,Gemini_Generated_Image_jybww1jybww1jybw.png,a-line,romantic,"Ren hoa, voan chữ A","Floral lace, tulle A-line"
MS 144,Gemini_Generated_Image_k39v4uk39v4uk39v.png,a-line,minimal,"Satin trễ vai, dáng chữ A","Off-shoulder satin, A-line"
MS 145,Gemini_Generated_Image_kshpsqkshpsqkshp.png,ballgown,editorial,"Đính kết lông vũ, tùng xoè","Feather beading, full skirt"
MS 146,Gemini_Generated_Image_luua5hluua5hluua.png,a-line,minimal,"Satin hai dây, hoa nổi","Satin straps, 3D florals"
MS 147,Gemini_Generated_Image_mcrukxmcrukxmcru.png,ballgown,editorial,"Đính kết tay dài, tùng xoè",Long-sleeve beaded ballgown
MS 148,Gemini_Generated_Image_mdu3ajmdu3ajmdu3.png,ballgown,editorial,"Lấp lánh lông vũ, tùng xoè","Sparkle and feathers, full skirt"
MS 149,Gemini_Generated_Image_mhwvfkmhwvfkmhwv.png,ballgown,editorial,"Satin xếp bồng, tùng xoè",Pick-up satin ballgown
MS 150,Gemini_Generated_Image_mk5an2mk5an2mk5a.png,ballgown,editorial,Voan lấp lánh tay dài,Long-sleeve sparkle tulle
MS 151,Gemini_Generated_Image_ncim0ncim0ncim0n.png,a-line,romantic,"Hoa nổi, voan chữ A","3D florals, tulle A-line"
MS 152,Gemini_Generated_Image_oen7iqoen7iqoen7.png,a-line,romantic,Ren cổ cao tay dài,High-neck long-sleeve lace
MS 153,Gemini_Generated_Image_orrbq0orrbq0orrb.png,mermaid,minimal,"Satin rủ tay voan, dáng ôm","Draped satin, sheer sleeves, fitted"
MS 154,Gemini_Generated_Image_oti89boti89boti8.png,mermaid,minimal,"Satin trễ vai, đuôi cá",Off-shoulder satin mermaid
MS 155,Gemini_Generated_Image_oytvudoytvudoytv.png,ballgown,timeless,"Ren cổ cao, tùng satin","High-neck lace, satin skirt"
MS 156,Gemini_Generated_Image_pdtxk4pdtxk4pdtx.png,a-line,romantic,"Ren mềm, voan chữ A","Soft lace, tulle A-line"
MS 157,Gemini_Generated_Image_pq3dhnpq3dhnpq3d.png,ballgown,editorial,"Lấp lánh, tùng xoè lớn","Sparkle, grand skirt"
MS 158,Gemini_Generated_Image_qhhpn2qhhpn2qhhp.png,a-line,timeless,Satin tay dài cổ vuông,"Long-sleeve satin, square neckline"
MS 159,Gemini_Generated_Image_qq9956qq9956qq99.png,a-line,romantic,"Voan lấp lánh, dáng chữ A","Sparkle tulle, A-line"
MS 160,Gemini_Generated_Image_rd2qvtrd2qvtrd2q.png,ballgown,editorial,"Corset, tùng voan loang hồng","Corset, blush ombré tulle"
MS 161,Gemini_Generated_Image_s67vpes67vpes67v.png,ballgown,editorial,Đính kết lấp lánh tay dài,Long-sleeve sparkle beading
MS 162,Gemini_Generated_Image_sdurpcsdurpcsdur.png,a-line,romantic,"Voan mềm, ren điểm","Soft tulle, lace accents"
MS 163,Gemini_Generated_Image_t7kv9zt7kv9zt7kv.png,ballgown,timeless,"Satin trễ vai, tùng xoè","Off-shoulder satin, full skirt"
MS 164,Gemini_Generated_Image_tgohzctgohzctgoh.png,a-line,editorial,"Ren hoa, chi tiết lông vũ","Floral lace, feather cuffs"
MS 165,Gemini_Generated_Image_tik2n1tik2n1tik2.png,ballgown,editorial,"Lấp lánh, tùng xoè bồng","Sparkle, voluminous skirt"
MS 166,Gemini_Generated_Image_tt9v6utt9v6utt9v.png,ballgown,editorial,"Corset đính kết, tùng xoè","Beaded corset, full skirt"
MS 167,Gemini_Generated_Image_u6aw0gu6aw0gu6aw.png,ballgown,editorial,"Corset trễ vai, tùng lấp lánh","Off-shoulder corset, sparkle skirt"
MS 168,Gemini_Generated_Image_vufoa5vufoa5vufo.png,ballgown,timeless,"Voan xếp ly, tay dài","Pleated tulle, long sleeves"
MS 169,Gemini_Generated_Image_w7hwn1w7hwn1w7hw.png,ballgown,editorial,"Corset cổ tim, tùng lấp lánh","Sweetheart corset, sparkle skirt"
MS 170,Gemini_Generated_Image_wehb7ewehb7ewehb.png,ballgown,minimal,"Satin trễ vai nơ lớn, tùng xoè","Off-shoulder satin bow, full skirt"
MS 171,Gemini_Generated_Image_xjn4djxjn4djxjn4.png,ballgown,timeless,"Satin cổ tim, tùng xoè",Sweetheart satin ballgown
MS 172,Gemini_Generated_Image_z0658pz0658pz065.png,mermaid,editorial,"Voan rủ, hoa nổi, đuôi cá","Draped tulle, 3D florals, mermaid"
MS 173,Gemini_Generated_Image_zd1ik3zd1ik3zd1i.png,a-line,minimal,"Satin trễ vai, dáng chữ A","Off-shoulder satin, A-line"
MS 174,ảnh_ko_có_hàng_ngọc_trai.png,ballgown,romantic,"Corset ren, tùng xoè","Lace corset, full skirt"
MS 175,DLA_15_02_18_6_thg_9_2026.png,mermaid,romantic,"Ren hoa 3D, dáng đuôi cá","3D floral lace, mermaid"
MS 176,DLA_15_50_01_10_thg_9_2026.png,ballgown,timeless,"Thân ren, tùng xoè trơn","Lace bodice, full skirt"
MS 177,DLA_16_00_34_10_thg_9_2026.png,ballgown,romantic,"Ren mềm, tùng bồng","Soft lace, volume skirt"
MS 178,DLA_16_09_55_10_thg_9_2026.png,ballgown,romantic,"Ren hoa lớn, tay dài","Bold floral lace, long sleeves"
MS 179,DLA_16_13_17_10_thg_9_2026.png,ballgown,editorial,"Ren kim tuyến, tùng lớn","Glitter lace, grand skirt"
MS 180,DLA_16_25_41_10_thg_9_2026.png,ballgown,timeless,"Thân ren, tùng satin","Lace bodice, satin skirt"
MS 181,DLA_16_27_28_9_thg_9_2026.png,ballgown,minimal,Tùng xếp ly trơn,Pleated plain skirt
MS 182,DLA_16_36_24_10_thg_9_2026.png,ballgown,romantic,"Tay dài ren, tùng voan","Lace sleeves, tulle skirt"
MS 183,DLA_16_36_44_9_thg_9_2026.png,ballgown,editorial,Kim tuyến lấp lánh,All-over shimmer
MS 184,DLA_16_39_44_10_thg_9_2026.png,ballgown,editorial,"Kim tuyến, tùng xoè","Shimmer lace, full skirt"
MS 185,DLA_16_40_51_9_thg_9_2026.png,ballgown,timeless,"Ren cổ điển, tùng bồng","Classic lace, volume skirt"
MS 186,DLA_16_48_53_9_thg_9_2026.png,mini,editorial,"Váy ngắn hoa 3D, tùng rời","3D floral mini, detachable train"
MS 187,DLA_16_55_06_9_thg_9_2026.png,mini,romantic,Váy ngắn ren hoa nổi,Floral lace mini
MS 188,DLA_16_59_29_9_thg_9_2026.png,mini,minimal,"Váy ngắn ren, tùng rời dài","Lace mini, long overskirt"
MS 189,DLA_17_01_37_9_thg_9_2026.png,mini,editorial,"Ngắn đính kết, đuôi voan","Beaded mini, tulle train"
MS 190,DLA_17_04_48_9_thg_9_2026.png,mini,romantic,"Ngắn ren hoa, nơ vai","Floral mini, shoulder bow"
MS 191,DLA_17_08_16_9_thg_9_2026.png,ballgown,timeless,"Corset ren, tùng xoè","Lace corset, full skirt"
MS 192,DLA_17_11_00_10_thg_9_2026.png,ballgown,minimal,"Thân trơn, tùng rộng","Clean bodice, wide skirt"
MS 193,DLA_17_12_57_10_thg_9_2026.png,ballgown,romantic,"Ren mềm, tùng nhiều lớp","Soft lace, layered skirt"
MS 194,DLA_17_16_28_10_thg_9_2026.png,ballgown,timeless,"Corset đính kết, tùng xoè","Beaded corset, full skirt"
MS 195,DLA_17_17_42_9_thg_9_2026.png,ballgown,editorial,"Ren ánh kim, tùng lớn","Metallic lace, grand skirt"
MS 196,DLA_17_29_05_10_thg_9_2026.png,ballgown,minimal,"Voan trơn, tùng bồng","Plain tulle, volume skirt"
MS 197,DLA_17_31_14_10_thg_9_2026.png,ballgown,timeless,"Trễ vai, tùng xoè","Off-shoulder, full skirt"
MS 198,DLA_17_34_33_10_thg_9_2026.png,ballgown,minimal,"Satin trơn, tùng rộng","Plain satin, wide skirt"
MS 199,DLA_17_38_11_10_thg_9_2026.png,ballgown,minimal,"Thân ôm, tùng trơn","Fitted bodice, clean skirt"
MS 200,DLA_17_45_12_9_thg_9_2026.png,ballgown,romantic,"Ren hoa, trễ vai","Floral lace, off-shoulder"
MS 201,DLA_17_49_27_10_thg_9_2026.png,ballgown,timeless,"Ren cổ điển, tùng dài","Classic lace, long train"
MS 202,DLA_17_55_29_10_thg_9_2026.png,ballgown,editorial,"Đính kết dày, tùng lớn","Heavy beading, grand skirt"
MS 203,DLA_17_59_00_10_thg_9_2026.png,ballgown,timeless,"Corset ren, tùng bồng","Lace corset, volume skirt"
MS 204,DLA_18_01_37_6_thg_9_2026.png,mermaid,romantic,"Tay dài ren, dáng ôm","Lace sleeves, fitted"
MS 205,DLA_18_05_05_9_thg_9_2026.png,ballgown,timeless,"Trễ vai ren, tùng xoè","Off-shoulder lace, full skirt"
MS 206,DLA_18_12_26_10_thg_9_2026.png,ballgown,editorial,"Ren ánh kim, tùng rộng","Metallic lace, wide skirt"
MS 207,DLA_18_20_21_9_thg_9_2026.png,ballgown,romantic,"Ren hoa mềm, tùng bồng","Soft floral lace, volume"
MS 208,DLA_18_20_28_10_thg_9_2026.png,mermaid,minimal,"Satin xếp ly, dáng ôm","Pleated satin, fitted"
MS 209,DLA_18_26_20_10_thg_9_2026.png,ballgown,editorial,"Kim tuyến, tùng nhiều lớp","Shimmer, layered skirt"
MS 210,DLA_18_26_45_9_thg_9_2026.png,ballgown,minimal,"Voan trơn, thân ôm","Plain tulle, fitted bodice"
MS 211,DLA_18_31_39_10_thg_9_2026.png,ballgown,editorial,"Đính kết ánh bạc, tùng lớn","Silver beading, grand skirt"
MS 212,DLA_19_06_00_9_thg_9_2026.png,mermaid,editorial,"Ôm body đính kết, đuôi dài","Beaded fitted, long train"
MS 213,DLA_19_17_23_9_thg_9_2026.png,a-line,romantic,"Ren hoa lớn, dáng chữ A","Bold floral lace, A-line"
MS 214,DLA_19_21_21_9_thg_9_2026.png,a-line,minimal,"Satin trơn, nơ eo","Plain satin, waist bow"
MS 215,Gemini_Generated_Image_4be9i54be9i54be9_(1).png,ballgown,timeless,"Corset ren, tùng xoè","Lace corset, full skirt"
MS 216,Gemini_Generated_Image_4be9i54be9i54be9_(2).png,ballgown,editorial,"Ren kim tuyến, tùng bồng","Glitter lace, volume skirt"
